"NUMPOL","EXPO","ZONA","POTENCIA","ANTIGUEDAD_VEHICULO","EDAD_CONDUCTOR","BONO","MARCA","COMBUSTIBLE","DENSIDAD","REGION"
4999,0.14,"D",4,0,31,57,12,"E",31,10
5017,0.58,"D",7,5,41,51,12,"E",91,12
5024,0.48,"A",5,0,37,57,12,"E",43,10
5093,0.59,"A",5,0,44,50,12,"E",73,13
5095,0.02,"D",5,0,31,50,12,"E",72,13
5127,0.5,"C",9,0,54,50,12,"E",31,13
5134,0.58,"D",7,0,48,50,12,"D",11,13
5150,0.18,"D",9,0,23,80,12,"E",42,4
5179,0.45,"E",4,0,34,50,12,"E",73,13
5181,0.57,"D",5,2,26,100,12,"D",83,0
5184,0.58,"F",5,7,43,50,2,"E",11,13
5193,0.51,"A",6,0,54,50,12,"D",25,13
5264,0.00546448087431694,"C",6,0,56,50,12,"E",53,13
5276,0.47,"E",5,0,30,51,12,"E",11,12
5295,0.5,"E",7,0,38,60,12,"D",11,9
5318,0.13,"D",11,0,45,50,12,"D",11,13
5375,0.29,"E",9,0,34,50,12,"E",11,13
5379,0.1,"D",5,0,67,118,12,"E",73,-1
5425,0.49,"C",4,0,37,57,12,"E",73,10
5426,0.06,"C",4,0,37,57,12,"E",73,10
5473,0.47,"B",6,0,36,60,12,"E",31,9
5487,0.08,"C",6,0,51,65,12,"D",11,7
5490,0.12,"E",6,0,53,50,12,"E",11,13
5534,0.5,"E",5,0,71,50,12,"E",82,13
5555,0.47,"B",5,0,43,50,12,"E",52,13
5556,0.07,"B",5,0,43,50,12,"E",52,13
5646,0.54,"E",8,0,25,84,12,"E",11,3
5663,0.31,"F",9,0,62,50,12,"E",11,13
5691,0.09,"A",4,0,53,50,12,"E",93,13
5733,0.26,"C",5,7,40,53,1,"E",72,13
5751,0.16,"C",4,0,31,60,12,"E",21,9
5753,0.08,"A",10,0,30,85,12,"D",72,3
5840,0.13,"C",11,6,35,56,2,"E",11,13
5850,0.43,"C",6,0,49,50,12,"D",93,13
5910,0.11,"D",4,0,41,90,12,"E",91,2
5939,0.44,"B",7,5,40,50,12,"E",22,13
5976,0.09,"E",7,0,39,100,12,"D",11,0
6021,0.37,"A",4,1,54,50,12,"E",73,13
6052,0.59,"D",7,0,49,50,12,"D",73,13
6068,0.07,"C",4,0,32,60,12,"E",94,9
6087,0.07,"C",7,0,35,80,12,"D",93,4
6185,0.09,"C",6,0,34,100,12,"E",91,0
6202,0.32,"F",4,0,40,50,12,"E",11,13
6229,0.13,"E",4,1,24,80,3,"D",53,4
6239,0.11,"D",4,0,37,57,12,"E",91,10
6259,0.09,"F",5,0,44,64,12,"E",11,8
6261,0.08,"E",10,0,31,64,12,"D",11,8
6282,0.34,"B",7,0,47,100,12,"D",11,0
6286,0.00819672131147541,"A",5,0,51,50,12,"E",93,13
6287,0.39,"A",5,0,51,50,12,"E",93,13
6375,0.47,"B",7,4,46,50,6,"E",11,13
6381,0.07,"B",4,0,64,68,12,"E",93,7
6483,0.24,"B",9,0,55,52,12,"E",93,13
6490,0.03,"C",7,2,44,50,12,"E",72,13
6505,0.41,"D",5,0,35,95,12,"E",73,1
6510,0.07,"D",5,0,26,85,12,"E",31,3
6618,0.41,"F",6,0,40,50,12,"E",11,13
6638,0.1,"F",4,0,29,60,12,"E",11,9
6666,0.04,"E",10,0,30,64,12,"E",11,8
6670,0.45,"D",5,15,25,95,1,"E",93,1
6703,0.05,"E",6,0,32,54,12,"E",11,11
6826,0.28,"F",4,0,46,60,12,"E",11,9
6841,0.05,"C",5,0,27,100,12,"D",41,0
6844,0.37,"A",11,0,57,50,12,"D",74,13
6882,0.35,"C",4,0,35,60,12,"E",82,9
6892,0.41,"D",7,9,66,56,1,"E",93,13
6945,0.43,"B",7,0,60,50,12,"D",73,13
6955,0.00273224043715847,"B",10,10,27,76,12,"D",93,5
6958,0.04,"B",10,10,27,76,12,"D",93,5
6961,0.35,"C",6,0,78,50,12,"E",73,13
6988,0.06,"C",7,0,36,50,12,"D",82,13
7002,0.43,"C",5,0,51,50,12,"E",91,13
7013,0.07,"E",6,2,26,100,12,"E",82,0
7026,0.02,"E",9,0,45,72,12,"E",11,6
7080,0.31,"D",11,0,43,60,12,"D",72,9
7127,0.34,"F",6,0,35,51,12,"E",11,12
7134,0.42,"E",5,0,49,54,12,"E",11,11
7160,0.00819672131147541,"C",5,0,72,50,12,"E",93,13
7210,0.08,"C",11,8,37,54,1,"D",22,11
7211,0.33,"C",6,6,37,54,3,"D",22,11
7249,0.4,"E",11,10,63,58,11,"E",93,13
7306,0.38,"D",6,6,21,95,3,"D",22,1
7324,0.4,"C",6,8,40,57,2,"D",72,10
7337,0.31,"E",6,0,30,68,12,"E",11,7
7356,0.34,"C",10,2,65,50,12,"D",25,13
7361,0.29,"A",10,0,38,76,12,"D",83,5
7373,0.28,"E",6,0,47,50,12,"E",93,13
7388,0.1,"E",6,2,22,85,3,"E",21,3
7474,0.38,"D",4,9,25,80,5,"E",25,4
7498,0.26,"A",4,0,54,50,12,"E",25,13
7505,0.33,"B",4,0,53,50,12,"E",52,13
7508,0.02,"C",6,0,54,50,12,"E",91,13
7548,0.14,"E",5,10,50,50,12,"E",23,13
7569,0.08,"B",5,0,30,90,12,"E",82,2
7600,0.23,"C",11,3,28,90,12,"E",82,2
7624,0.04,"A",6,0,46,67,12,"E",91,7
7629,0.07,"C",4,1,57,52,12,"E",11,13
7652,0.35,"E",6,0,73,58,12,"E",93,13
7673,0.3,"A",12,6,24,80,12,"D",25,4
7685,0.02,"C",5,0,52,50,12,"E",73,13
7796,0.02,"E",5,0,27,85,12,"E",11,3
7849,0.07,"B",5,0,52,50,12,"E",73,13
7869,0.05,"C",7,0,28,86,12,"D",91,2
7879,0.08,"C",4,0,36,50,12,"E",82,13
7890,0.18,"A",10,8,28,80,13,"D",26,4
7925,0.07,"E",6,3,45,50,12,"E",22,13
7937,0.28,"D",7,0,43,68,12,"D",11,7
7991,0.06,"C",6,0,49,50,12,"E",91,13
8029,0.2,"B",10,7,49,50,13,"D",72,13
8118,0.09,"F",5,0,31,80,12,"E",11,4
8131,0.31,"C",6,1,32,54,12,"D",82,11
8161,0.23,"E",4,0,39,50,12,"E",11,13
8211,0.3,"D",6,2,53,100,5,"E",93,0
8276,0.29,"E",8,0,49,50,6,"E",93,13
8278,0.14,"B",6,0,49,50,12,"E",93,13
8289,0.18,"B",4,0,22,95,12,"E",82,1
8291,0.24,"D",5,0,69,50,12,"E",11,13
8311,0.29,"E",6,0,56,100,12,"E",11,0
8436,0.19,"E",7,0,75,85,12,"E",93,3
8517,0.27,"D",9,0,30,69,12,"D",82,6
8528,0.06,"C",5,0,54,50,12,"E",26,13
8543,0.17,"D",10,0,45,50,12,"E",52,13
8574,0.27,"C",7,3,26,76,12,"E",91,5
8628,0.00273224043715847,"D",10,0,40,75,12,"E",11,5
8629,0.26,"D",10,0,40,75,12,"E",11,5
8731,0.04,"C",7,8,47,58,12,"E",52,13
8758,0.14,"D",9,15,51,50,12,"D",93,13
8797,0.25,"D",6,6,33,90,12,"D",93,2
8831,0.19,"B",5,0,46,50,12,"E",94,13
8840,0.18,"C",5,0,36,51,12,"E",22,12
8850,0.1,"E",4,0,22,100,12,"E",31,0
8954,0.23,"A",7,0,61,50,12,"D",93,13
8996,0.16,"E",4,0,44,50,12,"E",82,13
9018,0.23,"C",9,2,43,50,4,"E",11,13
9110,0.06,"E",4,0,29,100,12,"E",11,0
9125,0.22,"C",11,6,25,68,1,"D",91,7
9170,0.22,"C",6,9,22,85,1,"D",91,3
9179,0.22,"A",4,9,51,100,13,"E",93,0
9208,0.11,"B",6,0,70,50,12,"E",82,13
9213,0.22,"C",4,5,58,50,2,"E",93,13
9240,0.07,"C",13,3,36,50,12,"E",93,13
9265,0.19,"D",6,3,58,100,12,"E",82,0
9356,0.09,"E",7,0,63,50,12,"E",93,13
9436,0.15,"B",4,0,72,50,12,"E",93,13
9441,0.19,"B",5,2,49,50,2,"E",72,13
9491,0.19,"C",6,2,32,64,12,"D",91,8
9501,0.19,"C",4,0,51,50,12,"E",54,13
9532,0.08,"D",10,1,46,50,12,"D",11,13
9567,0.19,"C",5,8,23,80,2,"E",91,4
9652,0.07,"E",10,0,56,50,12,"E",93,13
9693,0.15,"C",7,0,41,50,12,"D",11,13
9699,0.18,"D",8,0,27,76,12,"E",93,5
9760,0.16,"B",10,0,63,50,12,"D",52,13
9804,0.16,"B",4,0,27,72,12,"E",72,6
9830,0.15,"C",10,4,26,66,12,"D",22,7
9963,0.14,"C",7,0,41,100,12,"E",91,0
9972,0.06,"D",5,0,52,50,12,"E",82,13
10104,0.12,"E",10,0,38,64,12,"E",11,8
10119,0.01,"E",7,0,49,50,12,"E",11,13
10134,0.07,"D",6,5,36,72,6,"D",74,6
10164,0.12,"D",5,0,37,52,12,"E",21,13
10168,0.04,"D",5,0,48,50,12,"E",91,13
10299,0.03,"E",7,0,57,50,12,"D",11,13
10322,0.04,"E",5,0,42,50,12,"E",11,13
10330,0.1,"F",5,0,71,50,12,"E",11,13
10352,0.1,"D",5,0,40,50,12,"E",53,13
10387,0.1,"E",6,0,72,50,12,"E",93,13
10390,0.1,"B",12,4,43,50,12,"D",82,13
10478,0.09,"E",4,8,24,100,4,"D",82,0
10492,0.09,"C",4,0,54,106,12,"E",31,-1
10517,0.04,"E",5,0,64,50,12,"E",11,13
10653,0.07,"D",11,0,35,59,12,"D",31,13
10680,0.07,"D",7,0,40,50,12,"D",52,13
10751,0.06,"E",7,0,53,50,12,"D",11,13
10835,0.05,"B",6,0,37,50,12,"E",73,13
10861,0.05,"D",5,0,43,50,12,"E",93,13
10877,0.05,"C",10,6,35,85,12,"E",93,3
10882,0.04,"C",10,0,52,50,12,"D",42,13
10900,0.11,"A",10,0,45,50,12,"D",52,13
10983,0.04,"D",7,0,34,50,12,"D",93,13
10992,0.01,"D",5,8,45,50,3,"E",11,13
11021,0.04,"A",5,0,45,50,12,"E",93,13
11028,0.04,"E",15,0,59,52,12,"E",93,13
11119,0.03,"D",6,10,27,100,12,"E",93,0
11128,0.03,"E",5,0,21,95,12,"E",72,1
11164,0.03,"F",5,0,45,50,12,"E",11,13
11167,0.03,"B",7,0,62,50,12,"E",72,13
11174,0.05,"C",7,0,27,81,12,"E",22,3
11187,0.03,"E",10,9,24,80,12,"E",11,4
11197,0.03,"D",4,0,51,82,12,"E",82,3
11229,0.03,"D",4,0,35,72,12,"E",93,6
11233,0.03,"E",7,0,62,50,12,"E",72,13
11268,0.02,"D",4,0,25,95,12,"E",93,1
11343,0.02,"A",7,3,53,50,12,"E",82,13
11450,0.00819672131147541,"C",5,1,40,50,12,"E",93,13
11572,0.19,"E",6,0,43,50,12,"E",11,13
11696,0.04,"D",5,0,47,50,12,"E",11,13
16642,1,"B",8,7,55,50,1,"D",24,13
16659,0.95,"F",5,3,53,54,2,"D",11,11
16709,0.66,"A",6,7,55,50,2,"D",26,13
16715,0.4,"C",5,4,42,58,1,"E",23,13
16723,0.21,"C",8,0,49,62,2,"D",24,13
16734,1,"C",6,4,80,50,2,"D",53,13
16746,0.87,"C",5,1,44,50,5,"D",24,13
16813,1,"B",5,7,75,50,1,"E",24,13
16815,0.75,"D",7,5,72,50,1,"E",52,13
16858,1,"A",6,3,68,50,2,"D",24,13
16907,0.57,"A",6,11,62,50,3,"D",24,13
16926,0.03,"C",5,0,62,50,2,"E",24,13
16958,0.13,"C",6,1,48,64,2,"E",24,8
16985,0.35,"C",8,9,45,62,14,"D",82,13
17021,1,"B",6,12,52,55,1,"D",24,13
17025,1,"E",4,6,37,50,5,"E",24,13
17027,1,"A",7,12,44,50,5,"D",24,13
17037,1,"C",7,7,63,50,2,"D",25,13
17058,1,"B",7,12,54,50,1,"E",25,13
17104,1,"A",5,11,72,50,2,"E",24,13
17125,1,"A",8,7,65,62,3,"E",24,13
17131,1,"B",7,13,66,50,2,"D",24,13
17142,1,"A",4,10,74,50,1,"E",24,13
17153,1,"C",5,8,68,50,2,"E",24,13
17157,1,"B",4,5,76,50,2,"D",24,13
17215,1,"C",7,5,64,50,2,"E",24,13
17225,0.74,"C",6,8,62,50,1,"D",82,13
17236,1,"C",6,12,53,50,1,"D",53,13
17238,1,"B",7,13,72,50,2,"D",24,13
17342,1,"B",4,7,80,50,2,"E",24,13
17416,0.3,"C",7,4,48,50,1,"D",53,13
17432,1,"A",5,6,75,50,5,"E",25,13
17470,0.5,"C",5,0,44,62,2,"D",24,13
17479,1,"D",7,11,69,50,11,"E",24,13
17517,0.56,"B",5,1,48,50,2,"D",24,13
17565,1,"C",5,8,80,50,2,"E",24,13
17575,1,"B",7,4,47,50,2,"D",24,13
17596,1,"C",6,13,64,50,1,"D",24,13
17606,0.00546448087431694,"C",4,0,49,50,1,"E",25,13
17612,0.75,"E",6,1,66,50,1,"D",24,13
17631,1,"A",7,22,81,50,2,"E",24,13
17651,0.41,"C",6,2,50,50,3,"D",24,13
17667,1,"A",4,13,72,50,2,"E",24,13
17672,0.83,"A",6,5,63,50,2,"D",24,13
17726,0.7,"C",11,12,54,50,2,"E",24,13
17743,0.16,"C",7,6,57,50,1,"E",24,13
17795,1,"A",7,2,41,50,1,"E",24,13
17827,1,"C",7,5,48,50,1,"E",82,13
17855,1,"A",4,15,43,50,1,"E",25,13
18024,1,"B",5,5,81,50,1,"E",24,13
18045,1,"C",6,3,75,50,3,"D",53,13
18051,1,"D",7,8,65,50,1,"E",24,13
18088,1,"C",6,13,63,50,4,"E",53,13
18099,1,"D",7,9,70,50,2,"E",24,13
18108,1,"C",7,1,44,50,6,"E",26,13
18113,0.06,"A",5,0,69,58,1,"E",24,13
18134,1,"A",15,1,73,50,10,"E",24,13
18159,1,"A",7,2,75,50,2,"E",24,13
18207,1,"C",7,5,56,50,2,"E",82,13
18242,1,"B",7,9,50,50,2,"E",52,13
18249,1,"B",6,1,70,50,1,"E",52,13
18307,1,"A",4,18,72,50,1,"E",24,13
18319,1,"D",7,6,45,50,1,"E",52,13
18358,0.4,"A",5,0,60,50,1,"D",24,13
18360,1,"E",5,19,56,50,1,"E",53,13
18386,0.1,"A",6,3,41,50,1,"E",24,13
18395,1,"A",5,6,80,50,1,"E",24,13
18417,0.5,"B",5,5,53,50,1,"E",53,13
18464,1,"D",7,14,63,50,1,"E",24,13
18508,1,"A",5,7,65,50,1,"E",24,13
18563,0.38,"A",4,2,52,50,2,"E",91,13
18629,1,"A",7,4,71,50,1,"E",24,13
18632,0.00819672131147541,"E",6,2,51,50,3,"D",52,13
18684,0.49,"D",4,13,73,50,6,"E",24,13
18697,0.43,"C",4,12,73,50,1,"E",54,13
18752,0.51,"C",5,10,46,50,2,"E",53,13
18755,0.19,"A",5,6,40,50,5,"D",24,13
18757,0.73,"A",6,0,40,50,4,"D",24,13
18763,0.04,"C",5,10,60,50,2,"D",24,13
18783,1,"B",7,3,80,73,3,"E",41,5
18799,1,"A",6,6,55,50,2,"D",24,13
18819,1,"B",6,5,68,50,2,"D",24,13
18914,1,"A",6,10,63,50,1,"D",24,13
18934,1,"A",6,3,73,50,2,"D",24,13
18981,1,"B",4,10,66,50,1,"E",24,13
18991,1,"A",5,17,42,50,3,"D",24,13
19026,1,"B",5,10,51,50,14,"E",24,13
19029,1,"A",6,3,47,50,1,"D",24,13
19059,1,"A",5,14,75,50,1,"E",24,13
19076,0.09,"C",7,10,50,50,2,"E",53,13
19148,1,"C",5,13,69,50,1,"E",53,13
19222,1,"A",7,12,45,50,2,"D",24,13
19265,1,"C",5,4,61,50,2,"E",53,13
19273,1,"C",5,9,76,50,2,"E",24,13
19301,0.57,"A",6,0,58,50,1,"D",24,13
19318,1,"A",10,12,43,50,2,"D",24,13
19349,1,"B",10,7,87,50,1,"E",24,13
19424,0.87,"C",6,1,71,62,2,"D",53,13
19425,0.12,"C",6,1,71,62,2,"D",53,13
19449,1,"A",6,7,42,50,2,"E",24,13
19454,1,"C",10,14,68,50,12,"D",82,13
19494,1,"D",7,10,52,50,11,"E",24,13
19520,1,"A",6,12,79,50,3,"E",24,13
19560,1,"C",6,5,46,50,2,"E",53,13
19563,0.62,"C",6,10,52,50,2,"E",53,13
19613,1,"D",7,13,50,50,1,"E",24,13
19665,1,"D",6,10,53,50,1,"D",24,13
19667,0.72,"A",6,14,51,50,2,"D",24,13
19718,1,"C",6,3,80,52,2,"E",24,13
19766,1,"A",7,2,61,50,13,"D",24,13
19779,1,"B",4,14,70,50,2,"E",24,13
19783,1,"C",9,1,61,50,12,"E",24,13
19800,0.5,"B",7,11,70,50,1,"E",24,13
19807,0.69,"C",12,3,55,50,12,"D",24,13
19897,1,"B",8,23,52,50,6,"D",24,13
19919,1,"A",5,8,68,50,2,"E",24,13
19921,1,"A",5,2,55,50,1,"D",24,13
19982,0.24,"A",6,5,41,50,2,"D",24,13
19987,1,"C",7,9,62,50,1,"E",24,13
20006,1,"A",4,14,58,50,1,"E",24,13
20020,1,"B",4,13,52,50,1,"D",24,13
20024,0.47,"A",4,7,45,50,2,"D",24,13
20094,1,"B",7,5,68,50,1,"D",24,13
20096,1,"A",6,8,49,50,1,"D",24,13
20115,1,"A",6,4,87,50,2,"E",24,13
20117,1,"A",7,4,55,50,2,"D",24,13
20124,0.75,"B",6,5,31,50,2,"D",24,13
20142,1,"A",7,19,49,50,1,"E",24,13
20171,1,"D",6,1,61,50,1,"E",24,13
20200,1,"A",5,21,67,50,1,"E",24,13
20203,0.35,"C",6,3,63,50,2,"D",24,13
20248,1,"A",6,2,74,50,13,"D",24,13
20254,1,"A",7,16,52,50,1,"E",24,13
20273,0.64,"E",6,6,48,50,3,"D",11,13
20305,1,"A",6,2,61,50,1,"D",24,13
20311,1,"D",6,13,21,80,2,"D",24,4
20314,0.18,"C",5,1,42,50,1,"D",24,13
20319,1,"C",8,1,45,50,2,"D",24,13
20403,0.83,"C",7,10,42,50,2,"D",24,13
20428,1,"E",6,11,46,50,3,"E",24,13
20490,1,"A",4,33,78,50,1,"E",24,13
20507,0.25,"A",6,4,35,54,2,"D",24,11
20613,1,"A",7,3,74,50,2,"E",24,13
20640,1,"D",5,14,89,50,2,"E",24,13
20653,1,"E",5,6,71,50,1,"E",24,13
20665,1,"B",6,1,51,50,5,"D",24,13
20674,0.31,"E",4,10,21,100,2,"E",52,0
20695,1,"A",7,4,45,50,2,"D",24,13
20749,0.96,"D",4,13,54,50,6,"E",52,13
20770,0.00546448087431694,"C",11,8,53,77,13,"E",53,4
20841,0.87,"C",5,3,52,50,1,"E",53,13
20847,1,"D",6,4,57,50,2,"D",53,13
20849,0.00273224043715847,"E",7,0,56,50,2,"D",52,13
20854,0.36,"C",6,9,50,50,6,"D",25,13
20890,1,"C",7,8,46,50,2,"E",53,13
20953,1,"B",7,2,68,50,1,"D",24,13
20988,1,"D",6,6,65,50,2,"D",25,13
20996,0.04,"B",11,17,44,50,2,"E",25,13
21041,1,"E",11,9,53,50,2,"E",24,13
21082,1,"D",6,4,40,50,5,"E",25,13
