"ID","NUMPOL","COD_COBERTURA","MONTO"
1555,4085392,"2DO",1875.49
1580,4048233,"2DO",0
1581,4048233,"1RC",0
1591,4002566,"2DO",4158.45
1611,4015381,"2DO",1063.68
1612,4015381,"2DO",1786.44
1650,4039840,"2DO",3444.6
1653,4039840,"1RC",35193.25
1654,4039840,"1RC",1204
1669,4023226,"4BG",563.78
1677,4086286,"1RC",959.9
1706,1007419,"2DO",-15.24
1707,4007836,"2DO",339.07
1709,4079442,"5CO",556.14
1710,4079442,"2DO",0
1711,4079442,"1RC",0
1714,4007836,"2DO",808.81
1718,4054795,"2DO",1503.34
1719,4054795,"1RC",1204
1724,4054976,"2DO",2325.11
1725,4054976,"1RC",556.14
1812,4077919,"4BG",646.31
1815,4055738,"2DO",-41.48
1844,4025105,"4BG",374.76
1858,4058719,"2DO",786.09
1926,4053002,"4BG",474.58
1940,4011497,"4BG",318.66
1961,1009513,"2DO",1371.23
1972,1009513,"1RC",1128.12
1989,4061071,"4BG",235.83
2003,4056881,"2DO",72
2006,1012326,"1RC",1128
2021,4043515,"4BG",778.73
2040,4083676,"2DO",465.36
2041,4083676,"1RC",1204
2042,4020080,"2DO",484.13
2043,4051202,"2DO",3733.68
2065,4074168,"2DO",14289.32
2086,4006650,"4BG",572.07
2088,4032404,"4BG",82.6
2104,4059084,"2DO",-61.3
2116,4025496,"4BG",627.92
2123,4034385,"2DO",-379.06
2146,4022907,"2DO",1744.52
2154,4086392,"2DO",2526.83
2203,4014249,"1RC",-472.49
2232,4007879,"2DO",2255.32
2234,4007879,"4BG",694.29
2240,1011866,"4BG",373.79
2243,4081835,"4BG",244.15
2266,4002817,"2DO",1588.64
2275,4025287,"4BG",770.8
2276,4044230,"4BG",377.45
2287,4060798,"5CO",556.14
2288,4060798,"2DO",273.84
2289,4018527,"2DO",5434.82
2299,4018119,"2DO",655.41
2340,4086669,"2DO",414.91
2342,4081207,"4BG",565.68
2343,4015838,"4BG",156.37
2363,4042638,"2DO",232.06
2369,4029018,"4BG",675.66
2377,4072339,"4BG",490.83
2380,4032828,"4BG",750.48
2400,4033173,"2DO",1357.07
2413,4056926,"2DO",97.55
2417,4029746,"4BG",58.64
2445,4062808,"2DO",1330.07
2450,4004215,"2DO",37.32
2451,4049811,"4BG",469.72
2459,4049447,"2DO",0
2461,4049447,"1RC",0
2508,4038112,"2DO",438.9
2509,4038112,"3VI",87.91
2510,4018655,"1RC",1204
2514,1012499,"1RC",0
2530,4073233,"2DO",-200.67
2541,4054501,"5CO",1000
2542,4054501,"2DO",81.01
2547,4072171,"1RC",-382.85
2550,4047731,"2DO",1172.51
2551,4047731,"1RC",1204
2559,1007653,"2DO",2437.43
2565,4038398,"2DO",640.97
2566,4038398,"1RC",1204
2570,1007653,"1RC",0
2579,4062648,"2DO",92.27
2581,1007653,"1RC",1128
2586,4037286,"4BG",582.7
2592,1013626,"2DO",9702.09
2606,4070551,"1RC",1204
2644,4023643,"2DO",600.41
2700,4061626,"2DO",0
2701,4061626,"1RC",1204
2706,4006650,"2DO",2207.03
2739,4008589,"4BG",713.78
2755,4025287,"2DO",1796.67
2786,4082417,"2DO",922.42
2787,4082417,"1RC",1204
2789,4038748,"2DO",27.51
2894,4038804,"2DO",1265.11
2909,4029528,"2DO",311.06
2919,4036615,"2DO",383.65
2959,4031963,"2DO",5855.8
2961,4079278,"2DO",2105.97
2984,4054495,"2DO",1754.33
3011,4040468,"4BG",450.55
3031,4030078,"2DO",753.32
3041,4035105,"2DO",4765.04
3042,4035105,"1RC",554.02
3056,4079442,"4BG",96.41
3065,4016764,"2DO",2502.67
3066,4016764,"3VI",0
3072,4073727,"2DO",235.88
3074,4012636,"4BG",547.39
3121,4048233,"2DO",599.49
3136,1002524,"3VI",1622.41
3157,1004801,"2DO",-449.59
3158,4036956,"4BG",684.81
3172,4047886,"2DO",784.75
3175,4026049,"2DO",0
3176,4026049,"1RC",1204
3180,4038008,"2DO",140.9
3189,4063105,"2DO",756.62
3191,4032404,"4BG",99.03
3217,4043603,"2DO",680.22
3218,4043603,"1RC",1204
3223,4052085,"2DO",1495.68
3305,4007110,"2DO",488.04
3306,4007110,"4BG",55.11
3336,4061833,"4BG",50.23
3387,4059149,"4BG",612.57
3419,4074687,"2DO",89.09
3424,1006322,"2DO",0
3459,4081907,"1RC",268.16
3460,4081907,"1RC",0
3461,4081907,"1RC",1204
3468,1005918,"3VI",188.81
3475,4009785,"4BG",734.38
3476,4025380,"2DO",1683.59
3503,4034577,"2DO",-441.53
3528,4085195,"2DO",3459.66
3533,4029010,"4BG",602.77
3558,4074158,"1RC",1204
3564,4031494,"1RC",1031
3566,4031494,"1RC",1204
3584,4031494,"1RC",2229.81
3585,4031494,"1RC",1204
3589,4041974,"4BG",1004.76
3592,4066572,"1RC",602
3599,5066379,"2DO",591.44
3619,1011785,"2DO",84.75
3624,5001055,"2DO",5231.03
3625,5001055,"1RC",2351.15
3626,5001055,"1RC",1204
3674,5045482,"2DO",1270
3676,5045482,"1RC",2622.42
3677,5045482,"1RC",1204
3680,5081027,"1RC",699.55
3730,1014782,"2DO",1257.72
3759,5022439,"2DO",279.62
3772,4003149,"4BG",470.23
3784,5085322,"4BG",0
3785,5085322,"3VI",0
3794,5081380,"4BG",619.18
3801,5006808,"2DO",391.93
3802,5042032,"2DO",328.89
3828,5044190,"2DO",10110.68
3829,5044190,"1RC",1204
3832,5073135,"2DO",1041.54
3850,5018232,"2DO",79.41
3851,5018232,"1RC",1204
3854,5014156,"2DO",81.5
3855,5014156,"1RC",1204
3864,1012274,"4BG",216.39
3872,5065186,"4BG",330.45
3899,5046978,"2DO",-857.13
3930,1012862,"4BG",0
3954,5036140,"1RC",1204
3982,5008119,"4BG",467.4
3983,5061483,"4BG",456.44
3989,5069075,"2DO",670.12
4012,5000954,"2DO",-574.18
4013,5034743,"2DO",-801.57
4019,1013626,"2DO",2761.5
4024,5005931,"2DO",280.3
4030,1013626,"1RC",1128.12
4037,5019008,"4BG",768.87
4039,5021322,"4BG",43.53
4059,5077361,"2DO",1024.59
4093,5056221,"2DO",511.98
4123,5021182,"2DO",-557.35
4135,5032233,"2DO",2259.91
4139,5003917,"2DO",673.95
4159,5058374,"4BG",528.94
4178,5021044,"1RC",0
4213,5054311,"2DO",1107.34
4214,5054311,"1RC",1204
4219,5036378,"5CO",716.14
4220,5036378,"2DO",2539.86
4221,5036378,"1RC",289.43
4255,5085335,"4BG",501.48
4323,5067398,"1RC",-413.03
4324,5067398,"1RC",660
4329,5052888,"4BG",127.88
4338,1011677,"4BG",462.53
4354,5074924,"2DO",5195.5
4355,5074924,"1RC",8033.42
4360,1011477,"2DO",2234.88
4361,5049641,"2DO",282.78
4401,5060713,"2DO",-694.54
4402,5060713,"1RC",0
4425,5037507,"2DO",261.48
4446,5047846,"2DO",-147.98
4447,5047846,"1RC",602
4464,5049153,"2DO",2095.33
4465,5049153,"1RC",1204
4504,5071956,"2DO",-650.04
4516,1007670,"5CO",10294.14
4518,5051507,"2DO",110
4525,5007080,"2DO",0
4526,5007080,"1RC",1204
4528,1007670,"2DO",8258.49
4539,1007670,"1RC",0
4558,5086421,"4BG",71.76
4562,5043446,"2DO",2957.29
4607,5057190,"1RC",106.46
4617,5073355,"4BG",600.05
4618,5073355,"2DO",0
4632,5074196,"1RC",1204
4648,5060401,"2DO",898
4649,5060401,"1RC",1204
4651,5085238,"2DO",-604.53
4662,5038903,"4BG",745.37
4668,5083429,"2DO",726.44
4704,5066769,"2DO",888.11
4705,5066769,"1RC",1204
4726,5056215,"2DO",2679.64
4727,5056215,"1RC",3198.4
4728,5056215,"1RC",1204
4742,5035665,"2DO",-325.21
4745,5060892,"4BG",594.26
4779,5006036,"2DO",1321.19
4781,5047283,"4BG",0
4782,5047283,"2DO",777.65
4783,5045247,"2DO",-545.64
4797,5049016,"4BG",792.78
4806,5026061,"1RC",1204
4851,5054327,"4BG",161.34
4859,5036586,"4BG",0
4878,5061025,"2DO",-429.91
4905,5055229,"1RC",-7.54
4965,5083533,"2DO",93.05
4972,5071193,"2DO",579.82
4973,5071193,"1RC",0
4981,5005561,"4BG",457.61
5009,5071326,"2DO",438.89
5026,5079062,"2DO",1166.27
5027,5079062,"1RC",1204
5049,5025031,"2DO",819.03
5063,5027657,"2DO",-255.57
5109,5053076,"4BG",616.75
5112,1005698,"2DO",-623.49
5117,5023190,"2DO",2295.3
5118,5023190,"1RC",1204
5127,5006820,"2DO",551.87
5128,5064728,"4BG",864.5
5155,5057257,"1RC",1286.26
5170,5015382,"2DO",0
5196,5005904,"2DO",416.81
5197,5005904,"1RC",1204
5198,5044222,"2DO",-333.67
5204,5075540,"4BG",455.95
5220,5085393,"2DO",236.89
5221,5085393,"1RC",1204
5246,5007461,"2DO",0
5247,5007461,"1RC",0
5270,5032063,"4BG",516.6
5293,5054499,"2DO",490.85
5301,1004176,"4BG",390.04
5305,5000114,"2DO",211.08
5307,5066628,"1RC",105.3
5308,5066628,"1RC",0
5317,5042070,"2DO",4926.12
5342,5047905,"4BG",643.02
5394,5054807,"2DO",603.01
5425,5024445,"4BG",978.44
5441,5056471,"2DO",691.42
5442,5056471,"1RC",1204
5460,5033060,"2DO",2852.02
5463,5051884,"2DO",224.02
5464,5051884,"1RC",1204
5475,5075737,"2DO",28.26
5476,5075737,"1RC",0
5492,5004697,"2DO",-681.8
5510,5038711,"4BG",519.23
5546,1013718,"1RC",1128.12
5554,5054807,"2DO",868.51
5560,5081908,"1RC",-1044.3
5567,5043592,"4BG",538.06
5615,5036331,"4BG",0
5617,5056215,"4BG",82.6
5627,5040782,"2DO",527.98
5628,5040782,"1RC",1204
5646,1009738,"3VI",615.26
5669,5067450,"4BG",551.01
5674,5024445,"2DO",85.51
5679,1006180,"2DO",460.67
5701,1013992,"1RC",1128
5710,5067737,"2DO",-881.98
5731,5013915,"5CO",0
5732,5013915,"2DO",773.93
5733,5013915,"1RC",792
5735,5013915,"1RC",1204
5766,5009315,"4BG",338.37
5769,5018268,"5CO",-887.66
5770,5018268,"2DO",1426.16
5771,5018268,"1RC",0
5795,5050967,"4BG",481.89
5807,5040745,"2DO",2446.38
5834,1008147,"4BG",415.56
5836,5017915,"2DO",1217.07
5862,5052328,"2DO",0
5863,5052328,"1RC",1204
5875,5056564,"2DO",0
5950,5041524,"2DO",0
5951,5041524,"1RC",1204
5981,5069205,"2DO",479.54
5982,5069205,"1RC",1204
5986,5058612,"2DO",1682.79
6015,5045581,"1RC",1204
6033,1005297,"2DO",-406.54
6055,1002200,"1RC",1128
6079,5018268,"2DO",758.59
6080,5012596,"2DO",2022.77
6083,5069122,"4BG",303.2
6084,5069122,"2DO",0
6128,5060474,"4BG",765.31
6129,5026452,"4BG",644.82
6131,5006648,"4BG",0
6167,5015476,"4BG",137.91
6196,5034848,"2DO",89.7
6216,5066353,"2DO",767.71
6248,5012560,"2DO",4550.85
6251,5060892,"2DO",64.4
6266,5045336,"4BG",82.62
6267,5045336,"2DO",0
6307,5075009,"5CO",0
6308,5075009,"2DO",3107.86
6309,5075009,"1RC",17378
6310,5075009,"1RC",9110
6314,5034848,"2DO",1859.43
6315,5027977,"2DO",955.66
6375,5082644,"2DO",3684.61
6376,5082644,"1RC",602
6418,1013213,"4BG",508.93
6442,5046427,"2DO",0
6443,5046427,"1RC",1204
6451,1002473,"2DO",481.36
6459,5045642,"2DO",1088.4
6484,1012815,"2DO",729.38
6488,5063524,"1RC",660
6495,1012815,"1RC",1128
6499,5063128,"2DO",0
6513,5061735,"2DO",63.39
6522,5060366,"1RC",127.97
6523,5060366,"5CO",18545
6552,5083042,"4BG",455.7
6567,5004762,"2DO",90.3
6580,5005510,"5CO",556.14
6581,5005510,"2DO",7892.33
6583,5061153,"2DO",-526.31
6598,5047164,"4BG",717.31
6613,5050056,"2DO",0
6614,5050056,"1RC",1204
6617,5051481,"2DO",-449.61
6619,5027500,"4BG",522.14
6625,5070703,"4BG",569.38
6651,1005779,"4BG",0
6652,5085252,"2DO",2036.42
6661,5037553,"2DO",1120
6663,5037553,"1RC",1320
6670,5023259,"2DO",102.87
6706,1000997,"2DO",952.29
6717,1012008,"2DO",-169.75
6745,5061639,"4BG",631.94
6819,5041813,"4BG",694.86
6828,1010843,"4BG",495.79
6845,5067105,"3VI",1616.64
6854,5018604,"2DO",1838.83
6855,5018604,"1RC",9806
6856,5018604,"1RC",2089.04
6858,5037092,"4BG",606.26
6862,1013992,"4BG",627.98
6881,5021486,"2DO",405.54
6999,5071356,"2DO",-8.46
7014,1015335,"4BG",491.45
7015,5078917,"5CO",0
7016,5078917,"2DO",40.07
7017,5078917,"1RC",22000
7018,5078917,"1RC",1204
7043,5021456,"4BG",634.36
7062,5053252,"4BG",718.45
7066,5073521,"2DO",1471.33
7067,5073521,"1RC",1320
7098,5058498,"1RC",-338.06
7104,5075383,"3VI",0
7105,5048790,"2DO",948.15
7116,5004024,"2DO",1289.83
7140,5063131,"2DO",895.23
7148,5067075,"2DO",1982.58
7149,5067075,"1RC",1204
7153,5025948,"4BG",349.73
7234,5057481,"4BG",642.37
7250,5035862,"2DO",-525.22
7251,5061704,"2DO",1749.48
7253,5074371,"2DO",2342.86
7273,5055061,"2DO",-695
7277,5034208,"2DO",2142.19
7303,5012720,"2DO",851.79
7306,5065305,"4BG",527.47
7330,5001759,"4BG",343.04
7335,1012629,"1RC",71.29
7340,5045914,"2DO",909.69
7341,5045914,"1RC",1204
7375,5030228,"2DO",1193.41
7413,5036802,"1RC",0
7423,1009834,"2DO",40.96
7427,5048790,"4BG",687.71
7429,5070928,"4BG",1199.21
7430,5025582,"3VI",3430.6
7452,5078424,"4BG",736.94
7459,5068907,"2DO",1610.24
7460,5068907,"1RC",1204
7474,5056882,"2DO",1634.7
7488,5000590,"1RC",1204
7552,5029688,"4BG",88.68
7554,5030319,"4BG",82.6
7555,5035862,"4BG",675.92
7556,1008446,"4BG",638.05
7563,5014780,"4BG",669.08
7568,5056621,"2DO",1360.35
7575,5018658,"4BG",626.26
7578,1011785,"4BG",117.75
7586,5015739,"2DO",2421.03
7594,5031018,"4BG",700.2
7633,5006275,"4BG",561.49
7635,5073017,"4BG",409.92
7641,5080565,"4BG",752.12
7679,5060571,"2DO",3622.49
7691,5043625,"2DO",-908.21
7692,5005849,"3VI",12570.76
7696,5005476,"2DO",1815.05
7697,5005476,"1RC",7380
7698,5005476,"1RC",1204
7704,5018634,"5CO",7000
7705,5018634,"2DO",5919.44
7706,5018634,"1RC",7000
7707,5018634,"1RC",7697.78
7708,5037640,"1RC",-884.97
7717,5026110,"4BG",538.08
7746,5076217,"4BG",498.74
7752,5011380,"4BG",639.41
7772,5033327,"4BG",954.8
7773,5021059,"2DO",4953.82
7818,5041555,"2DO",568.65
7880,5034802,"1RC",0
7906,5059681,"4BG",414.97
7910,5007882,"4BG",161.02
7920,1013451,"2DO",-380.64
7931,1013571,"2DO",328.28
7932,5010661,"2DO",796.33
7958,5031418,"2DO",1232.56
7961,5010390,"2DO",0
7962,5010390,"1RC",1204
7982,5065721,"2DO",-772.24
7994,5063131,"2DO",0
8016,5053615,"2DO",2070
8017,5053615,"1RC",1320
8046,5067885,"4BG",252.56
8047,5067885,"3VI",1394.03
8096,5053023,"4BG",426.09
8113,5047025,"4BG",374.05
8114,5047025,"2DO",377.77
8127,5080868,"2DO",-330.02
8129,5031018,"2DO",-609.57
8152,1004183,"2DO",2050.68
8158,5014852,"4BG",916.09
8172,5007485,"2DO",852.21
8173,5007485,"1RC",1204
8175,5015739,"4BG",482.97
8176,5066922,"2DO",180.96
8187,5031960,"4BG",517.63
8190,5037541,"2DO",1094.4
8194,5013183,"2DO",496
8217,5019101,"1RC",1204
8220,5052328,"2DO",1470
8221,5052328,"1RC",1320
8224,5026540,"2DO",42.81
8244,5076496,"2DO",90.59
8245,5076496,"1RC",1204
8248,5000445,"2DO",2500.39
8257,5084332,"4BG",690.21
8258,5061222,"2DO",19.14
8259,5061222,"1RC",1320
8262,1012522,"2DO",413.22
8273,1012522,"1RC",1128.12
8292,5061548,"2DO",1745.1
8293,5061548,"1RC",1851.89
8325,5051497,"1RC",0
8335,5025606,"2DO",0
8336,5025606,"1RC",0
8349,5086895,"4BG",739.53
8370,5089302,"2DO",1482.68
8379,5086871,"4BG",620.64
8428,1011785,"1RC",564
8442,5089849,"2DO",90.3
8447,5088600,"1RC",1204
8468,5087662,"4BG",110.35
8512,5095058,"2DO",681.16
8549,5094247,"2DO",89.7
8550,1008414,"2DO",1597.45
8564,5088529,"1RC",-619.12
8565,5088529,"1RC",0
8566,5088529,"1RC",556.14
8620,5095067,"4BG",798.88
8623,5086871,"2DO",-714.17
8646,5089151,"2DO",-625.15
8647,5092165,"2DO",-285.21
8683,1011201,"2DO",700.37
8711,5091446,"2DO",4083.33
8721,5092696,"4BG",657.48
8746,5094652,"2DO",1151.53
8747,5094652,"1RC",2911.8
8749,5087033,"2DO",16423.35
8808,5095798,"2DO",0
8809,5095798,"1RC",1204
8838,1002870,"4BG",405.63
8841,5096966,"2DO",575.72
8848,5092505,"2DO",0
8850,5092505,"4BG",802.01
8851,5092505,"2DO",1369.47
8904,5092747,"2DO",70.57
8923,5095276,"1RC",165.04
8924,5095276,"1RC",0
8926,5095276,"1RC",602
8929,5069585,"4BG",0
8939,5101493,"2DO",0
8979,5092272,"4BG",704.5
8987,5093043,"2DO",834.09
8989,5097001,"2DO",0
8990,5097001,"1RC",0
9036,1002411,"2DO",1249.16
9039,5098678,"4BG",645.6
9055,5097249,"4BG",739.09
9078,5089980,"1RC",2524
9106,5101037,"4BG",739.8
9112,5095867,"4BG",324.63
9113,5097793,"2DO",-747.73
9138,5094460,"1RC",947.52
9156,5098274,"2DO",21.4
9167,5098207,"2DO",1908.44
9187,5098771,"4BG",98.5
9196,5087744,"2DO",1770.67
9198,5088529,"4BG",527.29
9214,5099700,"2DO",799.06
9220,5105865,"3VI",83.72
9238,5093297,"4BG",65.78
9240,5095792,"2DO",3086.97
9259,5095487,"2DO",731.93
9317,5093249,"2DO",-475.84
9332,5089864,"2DO",2135.17
9333,5089864,"1RC",5801
9350,5102429,"2DO",572.21
9354,5092986,"2DO",5956.95
9356,5092986,"1RC",2524
9368,5087466,"2DO",884.69
9369,5087466,"1RC",556.14
9370,5087466,"1RC",1204
9381,5103006,"2DO",2434.14
9383,5088975,"4BG",579.93
9391,5103064,"1RC",1204
9407,5099023,"2DO",523.99
9411,1005533,"4BG",499.95
9421,5107037,"2DO",0
9442,1011504,"2DO",-87.11
9446,5091254,"2DO",307.69
9483,5104510,"2DO",84.92
9484,5104510,"1RC",1204
9499,5095464,"2DO",789.04
9500,5091650,"2DO",-286.18
9505,5099964,"2DO",-13.48
9526,5089223,"4BG",592.35
9589,5091766,"2DO",2693.78
9590,5091766,"1RC",7000
9603,5103920,"4BG",588.96
9610,5103006,"2DO",368.75
9611,5108665,"2DO",1318.8
9631,5105890,"4BG",483.72
9635,5107804,"4BG",102.01
9639,5100729,"2DO",1091.26
9656,5104901,"4BG",68.02
9670,5091691,"2DO",981.91
9681,5092049,"4BG",593.78
9699,5100345,"1RC",898.78
9700,5102709,"4BG",798.1
9704,5097150,"1RC",1204
9732,5051481,"4BG",532.21
9739,6011454,"2DO",356.6
9745,6042300,"2DO",915.41
9758,6016033,"4BG",106.91
9773,1004815,"1RC",1128
9774,6063357,"2DO",-646.09
9782,6068573,"2DO",1349.73
9795,1005389,"2DO",216.73
9804,6064839,"2DO",92.4
9806,1005389,"1RC",2678.99
9858,1013965,"4BG",77.11
9884,6078073,"2DO",1470
9885,6078073,"1RC",1320
9902,1015447,"2DO",344.31
9906,6056241,"2DO",2350.84
9908,6083346,"2DO",-69.05
9909,6083346,"1RC",602
9942,6012999,"1RC",82.05
9957,6058964,"2DO",-738.65
9989,6016033,"2DO",3778.95
9990,6016033,"1RC",0
9997,6042697,"4BG",770.23
10007,6052939,"2DO",2022.09
10008,6052939,"1RC",1204
10057,6019523,"4BG",616.93
10069,6066322,"4BG",696.77
10074,6065966,"2DO",493.45
10077,6084393,"4BG",379.8
10093,6025607,"2DO",2043.78
10094,6025607,"1RC",1320
10096,6021606,"2DO",-1111.6
10153,1014190,"4BG",710.63
10160,6042770,"4BG",484.02
10205,6023150,"4BG",500.79
10209,6028239,"1RC",-569.58
10250,6065435,"2DO",1764.93
10257,6044782,"4BG",287.69
10321,6021969,"2DO",-529.84
10331,6012819,"2DO",-4.5
10334,6065122,"2DO",-520.23
10350,6011601,"4BG",600.45
10388,6037533,"2DO",854.47
10404,6034184,"4BG",638.99
10432,6078453,"4BG",837.02
10477,6067872,"2DO",91.55
10480,6067872,"1RC",1204
10483,6063289,"4BG",654.61
10496,6084268,"1RC",68.17
10606,6103769,"2DO",2733.1
10616,1013771,"4BG",519.1
10619,6091453,"2DO",186.86
10632,6087129,"2DO",108.99
10680,1004971,"2DO",685.76
10681,6088702,"2DO",688.36
10722,6101743,"2DO",515.39
10732,6097501,"2DO",0
10733,6097501,"1RC",2524
10753,6090261,"4BG",612.76
10773,6099684,"2DO",-596.82
10787,6094527,"4BG",289.65
10803,6091951,"2DO",846.23
10812,6092215,"1RC",-447.35
10822,6109171,"2DO",84.92
10828,6090594,"2DO",-29.97
10829,1010754,"2DO",-15.49
10830,6098781,"2DO",-7.62
10844,6096675,"4BG",549.81
10883,6091286,"4BG",241.96
10899,6089065,"2DO",18.53
10909,6092797,"2DO",-772.47
10980,1016320,"2DO",1151.74
11010,6106081,"2DO",780.74
11025,1015660,"2DO",0
11036,1015660,"1RC",556.14
11090,1005389,"4BG",387.98
11097,6108505,"4BG",95.68
11110,6111099,"2DO",689.66
11115,6100580,"2DO",647.25
11122,3493,"2DO",1470.07
11193,6101234,"2DO",388.82
11197,6085080,"1RC",7000
11211,6073208,"2DO",813.28
11238,6094275,"4BG",905.61
11296,6067110,"1RC",1013.35
11297,1011201,"2DO",-124.99
11340,6090422,"2DO",541.79
11344,6089376,"2DO",-886.94
11391,6108150,"4BG",802.25
11392,1008293,"2DO",-238.96
11432,6064145,"2DO",102.86
11433,6064145,"2DO",102.86
11434,6064145,"1RC",7000
11436,6064145,"1RC",0
11437,6064145,"2DO",205.48
11447,1013722,"2DO",538.9
11458,1013722,"1RC",1128
11543,1011546,"1RC",390.84
11546,6101036,"4BG",83.72
11567,6109171,"1RC",1320
11604,6024755,"2DO",-346.91
11617,6097773,"3VI",1380.59
11618,6106580,"2DO",1332.93
11624,6104902,"4BG",634.04
11630,6076141,"4BG",230.73
11631,6076141,"3VI",0
11648,6058964,"2DO",-637.79
11649,6058964,"1RC",0
11655,6024228,"2DO",341.96
11656,6024228,"1RC",1204
11671,6104927,"4BG",543
11698,6004682,"3VI",1358.61
11714,6090612,"2DO",1511.69
11723,6004677,"2DO",1984.56
11727,1002283,"2DO",658.46
11748,1010756,"4BG",462.48
11758,6024809,"4BG",521.35
11789,6060627,"2DO",-482.98
11790,6060627,"1RC",7000
11791,6077449,"4BG",0
11792,6077449,"2DO",1370.92
11814,6059796,"2DO",1464.65
11815,6059796,"1RC",1204
11832,6108799,"4BG",426.7
11846,6058584,"1RC",2732.37
11847,6058584,"3VI",8387.2
11859,6040271,"2DO",-104.81
11876,6093158,"2DO",947.94
11907,6067634,"5CO",0
11908,6067634,"2DO",1142.6
11909,6067634,"1RC",0
11932,6104006,"2DO",1620.1
11933,6104006,"1RC",5376.04
11975,6096317,"4BG",77.83
12002,6027955,"1RC",1406.43
12017,6061044,"2DO",1295.4
12018,6061044,"1RC",1346.4
12019,6098864,"2DO",321.28
12022,6002446,"2DO",7566.11
12023,6002446,"1RC",1346.4
12024,6103211,"2DO",2364.35
12048,6021599,"2DO",541.09
12056,6047503,"2DO",557.31
